sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-tensor-vector-R-2,logZ-err-tensor-vector-R-2
83,966453658.1423149,5.044246197,-0.9346209759999999,15.913832395,4.966198524,8.910967555,18.902870999988174,86,-6.47518961877427,0.014898251448817335,-6.3863469950361145,0.018665954501934805
84,966454383.6048882,3.8035979269999998,0.157894894,27.849316959,21.927135836999998,6.450545637,36.027673809338765,93,-7.624046622233335,0.03694583814548654,-7.129968725138956,0.012809195918039263
85,966455229.2924796,2.7013568880000003,0.863999486,19.280649307,16.94434551,15.087732469,29.77404832262307,102,-6.760178415368519,0.0287652707887443,-6.713829741199431,0.022140344129079236
86,966456099.4149297,2.811041117,0.179113999,17.693275726,11.407337914000001,4.97598764,21.631916632464065,79,-6.112177156324658,0.017929792407158474,-5.982300544515592,0.015359226212165407
87,966456966.6938748,3.993596077,0.612660825,6.34902149,10.40277374,6.484392239,13.804894714387315,28,-4.589175809635651,0.011319506051336588,-5.243301308230544,0.013623465998270816
88,966457725.5504688,6.096737862,-0.35198909,19.768341414000002,15.64796327,11.752641687,27.816733513889563,83,-6.808193669005484,0.02519292006448962,-6.415392955097531,0.023033272225921227
89,966458579.2437928,5.840044022000001,-0.161384702,3.2962171,3.274631958,20.321642044,20.846040319330573,75,-4.603690364872821,0.010845114602711531,-4.074325597796773,0.008528873296928257
90,966459394.1102189,4.415417194,0.530649424,9.760528869,13.358224358,4.534697953999999,17.154403730099705,62,-6.19412075441217,0.016887474743908445,-6.747082454177557,0.01708458180684939
91,966460209.4674445,4.611529827,-0.551486313,11.712573826,15.578895894,14.95980914,24.56994652844849,84,-8.944292111447254,0.055658843642795115,-7.895141654494368,0.01845099458577504
92,966461173.0153859,3.499650002,-0.234428197,4.91581222,5.7985188789999995,9.442091287,12.121927191847924,43,-5.370552178732981,0.012712404648001328,-5.914034153052652,0.011986778987806127
93,966461860.8809127,2.233896971,-0.527740598,11.933218379000001,6.952039169,12.715418780999999,18.772704234191224,76,-6.187880412368862,0.017799282409729857,-5.79117041761849,0.012338610612132763
94,966462826.3137631,4.577453136,-0.482381403,18.588051326,20.756556656,10.0412122,29.617161220433957,92,-9.930139669259923,0.056573913136087076,-6.770401276868178,0.027185185103818885
95,966463541.1546702,3.227312088,-0.09027519099999999,8.698031811,7.783043776,10.835812082999999,15.926278639481009,42,-5.615654664367882,0.01786876316774971,-5.642206549277902,0.015948185244159876
96,966464367.1004369,2.95332408,0.49938881399999996,21.023794663,13.962401525,8.372346565,26.590313751096975,98,-6.990120869956366,0.024361712134642863,-6.764271962314214,0.02048048279746708
97,966465299.348835,2.977641106,0.281923413,18.496725094000002,15.270361298,14.473720670999999,28.014306406488064,91,-6.906224282101804,0.033780813711881595,-6.5913693698996525,0.01761771068716471
98,966466087.3538438,3.41188097,-0.325450808,7.377072356,4.838236954,9.535464661,12.990566564622593,49,-5.384364599704067,0.012341978134414329,-5.142603597275865,0.0117376578785866
99,966466987.3090056,2.509705067,1.025519013,13.751067914000002,2.7316492080000003,1.899012815,14.147792260368456,44,-4.7014213112444825,0.0116883980699725,-5.565449171722789,0.011188775958725692
100,966467777.9735888,0.164449006,0.8864979740000001,17.871478077,21.16226631,15.149918120999999,31.571367773744882,88,-9.128082464109069,0.05750405534064443,-11.992876055923288,0.03212986039192842
101,966468608.6938579,6.100152016,0.110350899,20.538960218,10.858528859000002,3.81825516,23.54433282735336,105,-6.1144896145419585,0.0173917879171668,-6.571999675738273,0.014430964375580264
