sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-tensor-scalar-R-1,logZ-err-tensor-scalar-R-1,searched-prob-tensor,area-50-tensor,area-90-tensor,ra-cdf-tensor,dec-cdf-tensor
49,966425050.1832511,0.648217976,0.086842343,9.108738537999999,11.236449685,12.994831174000002,19.44460224632906,86,-7.529056478194541,0.020795750364290412,-7.184582033197938,0.019823995841452956,0.06857298616152926,566.1710766221977,1999.6929393786793,0.25271542360608257,0.5119478638667632
50,966425978.1803513,5.552133082999999,-1.20065999,7.576408517000001,9.467557227999999,17.820651963,21.554865860596323,76,-6.261546471386426,0.02157663245487037,-6.0327444656285785,0.0182527533232456,0.319676635985022,1159.4680205226932,4424.325064968201,0.9211500142328494,0.03871335041275263
51,966426780.6526382,0.45680019299999997,0.629652023,13.231008557000001,11.466512847999999,2.815382697,17.733214149141812,73,-6.456253719476129,0.01731564488723636,-6.415042315863976,0.018485791032535448,0.07776101310717985,859.943890599768,3192.9642695094976,0.09863429438543247,0.5177541729893779
52,966427546.6668217,3.086776018,-0.170943394,12.838159586,8.654361424,6.166159181,16.665468257995443,66,-6.113521399154633,0.018739296024832274,-6.480361805932215,0.019700186716245592,0.7053032580256706,938.7443289718678,2968.85145117307,0.5275566442131047,0.44366197183098594
53,966428422.8576909,5.364758015,-0.408536911,6.700642922999999,11.124017540999999,15.664309535,20.347308791147725,78,-8.116279958174427,0.030843164445516043,-7.9468511097959045,0.029234605617680865,0.2798742019301463,257.46521684995344,1124.51769489845,0.937327651040361,0.1642015542742542
54,966429320.0472957,4.422707081,1.238306999,9.760548749,7.73758947,12.631647250999999,17.739704477852953,53,-6.0829336152923545,0.01794555795843627,-5.797745237016401,0.015760005477980003,0.4487313001022111,1048.8731567419272,3660.269641521073,0.5542540073982737,0.9164611590628853
55,966430110.974127,5.577914237999999,0.062570147,6.038538966,9.103595568,16.260259608,19.58916658842754,77,-6.249097207314401,0.01229991769500912,-5.703754402085853,0.013657421744608943,0.45677394061693044,1449.8116335174652,5992.437069438885,0.8949796472184531,0.39023066485753055
56,966431019.6399208,3.894028902,0.08627588300000001,13.434804345999998,13.282029945,14.657945205999999,23.91153790405953,85,-6.99468632165784,0.02958363628341303,-6.821105491772797,0.02530046305480418,0.056329267579500485,495.7459805581246,1378.7268912533389,0.445928338762215,0.6205211726384365
57,966431803.0623486,1.2784600259999999,0.8646892909999999,15.958670254000001,14.667946187,5.102423366,22.267970851124606,77,-6.782446109633959,0.01500366761130292,-6.494604312896149,0.01848531745871373,0.15279482588618115,664.954957056407,1878.4144174733676,0.2025667707249393,0.7277141866111689
58,966432638.7037562,5.7467060089999995,0.882754922,16.214078797,6.486715232999999,8.959443761000001,19.627670729250607,72,-7.081293599577208,0.025313241228411425,-6.968544254565928,0.020534016906683123,0.5514137663102854,378.6264304623138,1625.7753273740836,0.3968208912858359,0.8929889298892989
